PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
zzCzi,4r1k1/6bp/1pp3pB/p2p4/2n3Q1/6N1/PPP2PPP/5K2 w - - 3 27,h6g7 c4d2 f1g1 e8e1 g3f1 e1f1,1319,117,65,19,endgame long mate mateIn3,https://lichess.org/z4yq5QTr#53,
zzD0F,r4rk1/1p3ppp/3b4/2p2b2/pnB1N3/8/PP2RPPP/R1B3K1 b - - 5 20,a8e8 e4d6 e8e2 c4e2,1696,79,95,15716,advantage fork hangingPiece middlegame short,https://lichess.org/xqDUVpQH/black#40,
zzD5q,rn1qkr2/pp3p1p/3bbP2/2pp2Q1/3P4/3B4/PPP3PP/RNB1R1K1 w q - 0 14,g5d5 d6h2 g1h2 d8d5,1216,135,53,35,crushing discoveredAttack kingsideAttack opening short,https://lichess.org/8gwKAdp4#27,Kings_Gambit_Accepted Kings_Gambit_Accepted_Muzio_Gambit
zzD7d,5r2/6pk/2p1p1pp/np1pP3/p2P3N/P1PQP1R1/1P3qPP/1K6 b - - 9 33,a5c4 d3g6 h7h8 g6g7,899,87,90,54,endgame mate mateIn2 short,https://lichess.org/OV3FgjWT/black#66,
zzDBR,4k2r/1q3pp1/2N2b1p/2nnP3/p4PQP/P2p4/1P4P1/1KBR3R w k - 1 29,e5f6 d5c3 b1a1 c5b3,1679,74,92,6899,mate mateIn2 middlegame pin queensideAttack short,https://lichess.org/mCfM1RH3#57,
zzDBd,r4rk1/1b3pp1/p1qp3p/1p6/3Q1n2/P1P4P/BP3R1K/6R1 b - - 5 27,f4e6 a2e6 g7g5 d4f6 c6e4 e6f7 f8f7 f6f7,2735,93,93,492,crushing kingsideAttack middlegame veryLong,https://lichess.org/ixJ6WLjz/black#54,
zzDGQ,4Nr1k/3Q3p/p5p1/6q1/8/1P2P1b1/PBr3R1/R5K1 b - - 2 29,c2b2 d7g7,1314,77,76,143,mate mateIn1 middlegame oneMove,https://lichess.org/letIm0ZY/black#58,
zzDJw,2rqr1k1/pp1bn1p1/1n3p1p/2pP4/2P4N/2QB4/PB3PPP/1R3RK1 w - - 2 22,d3g6 e7g6 h4g6 d7f5,1602,74,94,2721,advantage middlegame short,https://lichess.org/tdfYAs63#43,
zzDKf,k2rr3/p7/5Q2/p7/3PqB2/6Pp/1PP2R1P/R5K1 w - - 0 28,a1a5 e4h1 g1h1 e8e1 f2f1 e1f1,2174,76,90,715,attraction long master mate mateIn3 middlegame sacrifice,https://lichess.org/UI5tBC8q#55,
zzDLK,2rr2k1/1n2qpp1/p1nRp2p/1p2P3/2p1PP2/P5BP/1P2Q1P1/1B1R2K1 w - - 1 30,g3f2 b7d6 e5d6 d8d6,1409,75,96,8765,crushing master middlegame short,https://lichess.org/qHgSIIHr#59,
