PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
zzOnz,8/pp3rbk/2p3Rp/3p1B1P/8/2P1r3/PP6/1K3R2 b - - 0 39,e3e5 g6f6 h7g8 f5h7 g8h7 f6f7,2083,75,93,5931,crushing deflection discoveredAttack endgame long,https://lichess.org/oVRpbRz2/black#78,
zzOvs,5rk1/p4pq1/6p1/5b2/2B4Q/5P2/P1r1nBPK/R4R2 w - - 2 30,c4b3 g6g5 b3c2 g5h4,2349,80,90,180,crushing master middlegame short,https://lichess.org/IogmmriB#59,
zzP1F,8/p4k2/5P1p/5KP1/1r2B3/8/8/8 b - - 3 48,b4e4 g5g6 f7f8 f5e4,1729,75,96,3456,crushing endgame intermezzo rookEndgame short,https://lichess.org/Qk1ZrDih/black#96,
zzP7V,r2r4/pp3pbk/2np2pp/4p3/2P1P1q1/5NP1/PP1Q1PBP/2R1R1K1 b - - 1 20,h6h5 f3g5 h7g8 g2h3,1574,78,71,67,crushing middlegame short,https://lichess.org/cF5pet74/black#40,
zzP8M,5rk1/5p1p/3r1Pp1/8/1b1B4/5P2/3P3P/R3R1K1 w - - 1 28,e1e4 d6d4 e4d4 b4c5 g1g2 c5d4,1329,76,89,426,advantage attraction endgame long pin sacrifice,https://lichess.org/KUUwq4Xw#55,
zzPHE,8/2p2R1k/p1p3p1/1p3r2/2bB4/P1P3R1/5PPP/6K1 b - - 0 28,f5f7 g3h3 h7g8 h3h8,902,81,100,73,endgame mate mateIn2 short,https://lichess.org/M8yjEAqN/black#56,
zzPIw,r3r1k1/pp3pp1/2nq3p/3p3P/3Pn3/P1N1P2P/1PP3Q1/R3K1R1 b Q - 2 19,d6e6 g2g7,1546,365,33,11,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/ZdbxI1d9/black#38,
zzPLM,r1b4r/p7/2pRkp1p/2B1p1pB/2P1pn2/8/P1P2PPP/R5K1 b - - 2 20,e6f5 g2g4,1270,75,92,2077,mate mateIn1 middlegame oneMove,https://lichess.org/AsvyMgHe/black#40,
zzPNN,r1bR3k/pp2n1bp/2q3p1/4p3/2B5/Br4NP/PP3P2/2R3K1 b - - 1 25,e7g8 d8g8,720,80,100,92,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/UbB4Ru5X/black#50,
zzPRP,r2qkbnr/pp1b1ppp/2n1p3/1B2P3/3pN3/5N2/PP2QPPP/R1B1K2R b KQkq - 1 9,c6e5 f3e5 d8a5 e4c3 d7b5 e2b5 a5b5 c3b5,2250,79,88,1152,advantage hangingPiece opening veryLong,https://lichess.org/WBzFkMAb/black#18,French_Defense French_Defense_Advance_Variation
zzPW6,r1b2rk1/pp4bp/n1pp2q1/3PppB1/2P5/P1N4P/1P2BPP1/R2QR1K1 w - - 1 18,d5c6 g6g5 d1d5 f8f7,2079,82,38,42,advantage defensiveMove hangingPiece master middlegame short,https://lichess.org/B1JbndeJ#35,Kings_Indian_Defense Kings_Indian_Defense_Orthodox_Variation
zzPXG,6k1/p3qpp1/1p2p3/6p1/r7/4P3/4QPPP/2R3K1 b - - 0 28,a4a5 c1c8 e7f8 c8f8,946,144,82,23,advantage endgame short,https://lichess.org/mdOf2KN4/black#56,
zzPaZ,5rk1/pRp2ppp/2p1r3/6q1/3Pp3/P1P1P3/2P2QPP/5RK1 b - - 1 19,g5a5 f2f7 f8f7 b7b8 e6e8 b8e8 f7f8 f1f8,1284,75,82,262,endgame kingsideAttack mate mateIn4 sacrifice veryLong,https://lichess.org/nQdwyRy4/black#38,
zzPfC,4r1k1/p5pp/1pp2pq1/8/P2PrB2/7P/2Q3P1/1RR3K1 w - - 0 25,f4h2 e4e1 c1e1 e8e1 b1e1 g6c2,1735,76,95,10526,advantage long master middlegame,https://lichess.org/dZS58L7I#49,
zzPjb,n4k2/pp1n1pq1/8/8/3Q4/1P6/P1P2PPP/R5K1 w - - 5 30,d4d7 g7a1 d7d1 a1d1,865,103,69,30,backRankMate endgame hangingPiece mate mateIn2 short,https://lichess.org/2EPmUAOu#59,
zzPqj,6k1/5pp1/p3p3/2p3q1/1pN1r2p/1P1P1Q2/P1P2PPP/6K1 w - - 0 34,f3e4 g5c1 e4e1 c1e1,733,93,92,498,endgame mate mateIn2 short,https://lichess.org/MXrUTOT4#67,
zzPuF,r3r3/np1b1pkp/1b1p2p1/pP2p3/2B1P1PP/2PP1N2/4NP2/R3K2R b KQ - 0 18,d7b5 c4b5 a7b5 a1b1,1705,75,91,1851,advantage middlegame short,https://lichess.org/aPGd2oWl/black#36,Kings_Pawn_Game Kings_Pawn_Game_Wayward_Queen_Attack
zzQ3K,7k/3Q2p1/3P1p1p/3q4/5P2/2R1B3/r3KP2/8 w - - 1 40,e2f1 d5h1,1478,87,88,6510,endgame mate mateIn1 oneMove,https://lichess.org/gJs8Cue9#79,
zzQ3U,2b1kb1r/1p1p1ppp/4pq2/1Pn5/8/N7/P2Q1PPP/R3KBNR w KQk - 2 14,a1d1 c5e4 d2d4 f8b4 e1e2 e4c3,2222,76,85,304,advantage clearance long opening,https://lichess.org/JfikknwO#27,Benoni_Defense Benoni_Defense_Benoni_Gambit_Accepted
zzQ8O,8/4r1nk/2pR2pp/8/2BQPq2/8/P5PP/6K1 w - - 4 31,d6d7 e7d7 d4d7 f4e3,2341,108,64,24,crushing endgame master short,https://lichess.org/maVtxaJC#61,
zzQDf,3r2k1/ppR2ppp/4b3/3pr3/8/1P3B2/P4PPP/3R2K1 b - - 3 19,d8d7 c7c8 d7d8 c8d8,443,106,94,1051,backRankMate endgame mate mateIn2 short,https://lichess.org/IfH5ZXHt/black#38,
zzQEO,r4rk1/ppq3pp/2n1b3/1B3pN1/Q3N1n1/4P3/PP3PPb/R1B1R2K w - - 0 16,e4c5 g4f2,707,101,87,444,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/pcFqhnri#31,English_Opening English_Opening_Caro-Kann_Defensive_System
zzQF5,8/1Bb3p1/3k1p1p/2p2P2/2P2KPP/8/1n6/4B3 w - - 1 47,b7d5 b2d3 f4e4 d3e1,900,89,92,871,advantage endgame fork short,https://lichess.org/JQwoKYsl#93,
zzQGS,R4bk1/4qp1p/2p3pB/2Pp1p2/3P4/1p4P1/1P2QP1P/6K1 b - - 0 30,e7e2 a8f8,666,92,74,106,endgame mate mateIn1 oneMove,https://lichess.org/Nuhe6iVI/black#60,
zzQGt,r5k1/2q2pp1/p1b2n1p/3pr3/1p6/1B1N4/PP1R1PPP/2RQ2K1 b - - 7 23,e5e7 d2c2 e7e6 d3b4 c7b6 b4c6,2567,89,77,57,crushing long middlegame,https://lichess.org/TXeoGEIY/black#46,
zzQJy,8/1p6/4pk2/p1p5/2P2P2/3K2P1/6P1/8 b - - 1 38,a5a4 g3g4 e6e5 g4g5 f6g6 f4e5 g6g5 g2g4,2438,94,91,380,crushing defensiveMove deflection endgame pawnEndgame quietMove veryLong,https://lichess.org/nN0cvEbV/black#76,
zzQK9,3r3r/P3k1pp/1pQb4/3B2qb/5R2/7P/2P4K/R1B5 w - - 7 28,c1e3 d6f4 e3f4 g5f4 h2h1 d8d5 a1e1 d5e5,1750,74,93,965,crushing middlegame veryLong,https://lichess.org/aloIE2SA#55,
zzQQF,6k1/p2q2p1/4R3/3N1Q2/1p1b4/P2P1P2/2r1K1PP/8 w - - 4 41,e2d1 c2c5 d5e7 d7e7 e6e7 c5f5,2215,82,81,61,advantage endgame long master,https://lichess.org/5zaEIPIw#81,
zzQRF,3R4/4p3/1p3k2/2r3p1/5pP1/3P1P2/4PK2/8 b - - 2 43,f6e5 d3d4 e5e6 d4c5,977,80,92,903,crushing endgame fork rookEndgame short,https://lichess.org/voZtxAwB/black#86,
zzQSu,r1b2rk1/1p3ppp/pq6/8/4P3/1B6/Pb4PP/1R1Q1R1K b - - 1 18,b2f6 b3f7 f8f7 b1b6,1446,75,92,3431,crushing discoveredAttack middlegame short,https://lichess.org/rDzbBFPA/black#36,Sicilian_Defense Sicilian_Defense_Sozin_Attack
zzQTH,r4rk1/ppp3pp/2b1p1q1/4Rp2/3P4/1QPB4/PP3PPP/R5K1 w - - 3 17,e5e6 g6g2,1081,188,88,28,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/6evkVYnv#33,French_Defense French_Defense_Tarrasch_Variation
zzQTx,1k6/1ppQ4/pb2p2p/4Bp2/B4P1q/8/PPP2nP1/1K6 w - - 7 31,d7e6 h4h1,712,103,93,454,backRankMate endgame mate mateIn1 oneMove,https://lichess.org/PUBtNpRJ#61,
zzQaV,r4rk1/5ppp/bp6/p1bpPP2/3N1R1q/1PP1Q2P/1P4P1/R6K b - - 5 22,h4e7 f5f6 g7f6 e3g3 g8h8 e5f6 f8g8 g3g8,2146,76,94,1707,advantage intermezzo kingsideAttack middlegame veryLong,https://lichess.org/x1SQe28C/black#44,
zzQdP,rn2b3/1k2Qpp1/2p1p2p/1p6/4BPq1/1P4P1/7P/3R2K1 b - - 2 31,e8d7 d1d7 b8d7 e7d7 b7b6 d7c6,1510,75,82,117,crushing long middlegame,https://lichess.org/WcGhVrfM/black#62,
zzQfX,r1br2k1/ppqn1ppp/2n1p3/3pP3/1b1P4/5N1P/PPBN1PP1/R1BQR1K1 w - - 1 14,c2h7 g8h7 f3g5 h7g8,1068,78,93,2215,advantage defensiveMove hangingPiece opening short,https://lichess.org/MBM6FyaB#27,Sicilian_Defense Sicilian_Defense_Modern_Variations
zzQgX,8/R7/3P1k2/6pp/8/6PK/Pr5P/8 w - - 0 37,d6d7 g5g4 h3h4 b2h2,1395,78,100,158,deflection endgame mate mateIn2 rookEndgame short,https://lichess.org/Yji1miQF#73,
zzQhI,6k1/5pp1/Rp6/1Pp1b1p1/2b1B3/5PP1/3p3K/4r3 b - - 3 41,d2d1q a6a8 e5b8 a8b8 d1d8 b8d8,721,101,95,260,endgame long mate mateIn3,https://lichess.org/CdwsGdNU/black#82,
zzQi9,3rk2r/1b3p1p/p3p1p1/6P1/P1p5/q1pP1NN1/2Q2PP1/3KR2R w k - 0 24,d3d4 b7f3 g2f3 d8d4 d1e2 d4d2,1607,76,96,4719,crushing exposedKing long middlegame,https://lichess.org/uvpD13Dl#47,
zzQmf,8/kp1Q2R1/p1p2p1p/2P2P2/1P4P1/P3r1KP/8/q7 w - - 0 36,g3f4 a1e5,1058,79,100,42,endgame master mate mateIn1 oneMove,https://lichess.org/Kf5MNiQm#71,
zzQrL,r2q1r1k/pp4b1/2np2Qp/2pBppN1/3n4/2NP2P1/PPP4P/R1B3K1 b - - 3 16,h6g5 g6h5 g7h6 h5h6,1006,88,92,730,kingsideAttack master mate mateIn2 middlegame short,https://lichess.org/8KU3fCXK/black#32,Sicilian_Defense Sicilian_Defense_Closed
zzQvc,6k1/5ppp/4p3/4P3/2nN1P2/2P5/rN2K1PP/1R6 w - - 1 32,e2f3 c4d2 f3g3 d2b1,919,90,95,1425,advantage endgame fork master short,https://lichess.org/FNhdmOXB#63,
zzQwB,r4r1k/ppp2pp1/5N1p/b5Q1/3R4/7R/5PPK/q7 b - - 0 26,a1d4 h3h6 g7h6 g5h6,1004,76,100,864,mate mateIn2 middlegame sacrifice short,https://lichess.org/BFW3ETni/black#52,
zzQwg,6rk/1p5n/p2pQ3/2pP4/P4q2/6pP/1P4B1/4R2K b - - 1 37,h7g5 e6h6 g5h7 h6f4,1158,75,85,159,crushing endgame master masterVsMaster short,https://lichess.org/7WOcSM9X/black#74,
zzR0j,8/8/5b1p/4k1p1/1N4P1/4K2P/8/8 b - - 5 53,f6d8 b4c6 e5e6 c6d8,672,83,86,195,crushing endgame fork short,https://lichess.org/yWC6A5Lz/black#106,
zzR17,2b2nk1/5ppp/2p2b2/2Pp4/3P1q2/2BB1N1P/5PP1/4Q1K1 b - - 2 23,c8f5 c3d2 f4b8 d3f5,1761,72,95,13625,advantage middlegame short,https://lichess.org/vGACxDJi/black#46,
zzR2U,8/8/2Pk3p/3Bp3/bP2K2P/8/8/8 w - - 13 62,h4h5 a4c2 e4f3 d6d5 c6c7 c2f5,1875,76,96,11234,bishopEndgame crushing defensiveMove deflection endgame long master,https://lichess.org/18YFD66Q#123,
zzRAC,2r3k1/2r2p1p/p2p1Rp1/q2P4/2P5/3Q3P/P1R3P1/6K1 w - - 1 26,f6d6 a5c5 g1h2 c5d6,1830,77,88,102,advantage endgame fork master short,https://lichess.org/RwoYWqhC#51,
zzRAY,r1b2r2/pp3ppk/1q2p3/6N1/8/6b1/PPP2PP1/R2Q1RK1 b - - 1 18,h7g6 d1g4 g3h2 g1h2,2212,76,74,77,crushing middlegame short,https://lichess.org/uTfw4g3z/black#36,Queens_Pawn_Game Queens_Pawn_Game_Krause_Variation
zzRFr,2Q5/6pk/p1R1pr1p/5p2/1q1PbP2/1B2P2P/PP4P1/6K1 w - - 3 35,b3e6 f6f8 e6f5 e4f5,2658,113,88,276,advantage endgame short,https://lichess.org/hVZvkKj7#69,
zzRGA,r1b2rk1/ppp1qppp/2n1p3/2pnP1N1/3P3P/3Q4/PP3PP1/RN2KB1R b KQ - 1 12,h7h6 d3h7,1054,164,57,26,mate mateIn1 oneMove opening,https://lichess.org/zSyzByhv/black#24,Trompowsky_Attack Trompowsky_Attack_Classical_Defense
zzRSz,8/3kp3/p1q3p1/4Q3/P7/6P1/4pP2/5K2 w - - 0 40,e5e2 c6h1,1188,82,79,108,endgame master masterVsMaster mate mateIn1 oneMove queenEndgame,https://lichess.org/5j3lkB5Z#79,
zzRbe,5r2/pp3kp1/3b1n2/5B2/6P1/7K/PP1B3P/4r2R w - - 0 29,h1e1 f8h8 h3g2 h8h2 g2f3 h2d2,1163,75,93,527,advantage endgame long skewer,https://lichess.org/yi5rHCSo#57,
zzRbl,r1bqknr1/1p4p1/p4nNp/3p1p2/2pP1N2/4Q3/PPP2PPP/R3K2R b KQq - 1 15,e8f7 g6e5 f7e8 e5c6,1366,75,93,3592,crushing discoveredAttack middlegame short,https://lichess.org/VxBiJSzL/black#30,Horwitz_Defense Horwitz_Defense_Other_variations
zzRsI,1k5r/1b6/pp2B3/4P3/1b6/2q3B1/P4PP1/3QR1K1 w - - 0 28,e1f1 c3c6 d1d5 c6d5 e6d5 b7d5,2171,136,75,11,advantage long middlegame,https://lichess.org/1viNsG7e#55,
zzRvm,4r1k1/pp1q2p1/2pPb2p/4Q3/1P6/P6P/4BPP1/3R2K1 w - - 3 25,b4b5 e6b3 b5c6 b7c6 e5h5 b3d1,2025,77,88,1934,advantage endgame long,https://lichess.org/EJOdlpWs#49,
zzRvp,8/8/R4BK1/1r4P1/2k5/6r1/8/8 b - - 2 49,c4d3 a6a3 d3e4 a3g3,991,89,81,76,crushing endgame short skewer,https://lichess.org/ahid0MKP/black#98,
zzRyd,8/pp3k2/5p1p/6p1/1P3nP1/P2pKPBP/8/8 b - - 4 43,f7e6 g3f4 g5f4 e3d3 e6d5 a3a4 a7a6 a4a5 b7b6 a5b6,2375,91,90,1043,advantage endgame quietMove veryLong,https://lichess.org/3xM7RZ3C/black#86,
zzS3I,r1b2rk1/pppp1Npp/8/4p3/2Bnn2q/8/PPPP2PP/RNB2QKR w - - 6 10,d2d3 d7d5 c4d5 c8e6 d5e6 d4e6,2399,84,69,77,clearance crushing long opening,https://lichess.org/Tv2YDdGE#19,Italian_Game Italian_Game_Two_Knights_Defense
zzSA5,r1bqk2r/pp1n1p2/2p4p/2b1p3/N1P1P1n1/3B1N2/PP2QPP1/R1B2RK1 b kq - 3 12,c5d4 f3d4 d8h4 d4f3,1561,76,95,22974,crushing middlegame short,https://lichess.org/zBd5WWkV/black#24,Pirc_Defense Pirc_Defense_Other_variations
zzSAi,3r3k/6pp/8/8/4p3/2P1P1q1/PPKNQrP1/R6R w - - 4 25,h1h7 h8h7 a1h1 h7g6 e2h5 g6f6 h5h4 g3h4,2174,84,89,250,advantage hangingPiece middlegame pin veryLong,https://lichess.org/odHXjZiN#49,
zzSCZ,8/5kpp/4pr2/1qN4Q/3P4/2P3P1/7P/6K1 b - - 5 38,f7f8 c5e6 f6e6 h5b5,1549,76,86,137,crushing discoveredAttack endgame short,https://lichess.org/ODv99maA/black#76,
zzSEZ,r5k1/2b2ppp/2N1pn2/1pPp4/1P1P4/q1nQP3/4NPPP/5RK1 w - - 0 22,e2c3 f6e4 d3b5 e4c3 b5b7 a3a6 b7a6 a8a6,2634,96,91,1114,advantage middlegame veryLong,https://lichess.org/bQ4qITOG#43,
zzSFB,2Q5/5p1k/6pp/8/3q4/7P/5rP1/1QR3K1 w - - 0 37,c1c2 f2c2 g1h1 c2c8,1093,77,93,855,crushing discoveredAttack endgame short,https://lichess.org/806eU7ST#73,
zzSHL,r6k/1p2q1p1/1pn1p2p/8/1P2PN2/P2R4/Q5PP/6K1 b - - 4 28,a8e8 f4g6 h8h7 g6e7,790,83,91,317,crushing endgame fork short,https://lichess.org/Ib3B420x/black#56,
zzSOT,8/8/4p3/4Q3/1KP5/3k4/5q2/8 b - - 4 46,f2d4 e5d4 d3d4 c4c5 d4d5 b4b5,1860,75,87,540,crushing defensiveMove endgame long master queenEndgame quietMove,https://lichess.org/8vB44MPO/black#92,
zzSOo,r1bqr1k1/pp3ppp/3b1n2/3NNp2/3P1P2/5Q2/PPPB2PP/R3K2R w KQ - 1 13,e1c1 d6e5 d4e5 f6d5,1942,76,95,8744,advantage middlegame short,https://lichess.org/yA5tbeZf#25,Bird_Opening Bird_Opening_Dutch_Variation
zzSOp,3r1rk1/p3qpp1/1pN5/2p5/3P4/6Pb/P4P1P/3Q2K1 b - - 3 27,d8d4 c6e7 g8h7 d1h5,1049,79,62,251,anastasiaMate endgame hangingPiece mate mateIn2 short,https://lichess.org/ubHx1FAM/black#54,
zzSPc,2r2r2/5pk1/3p1b2/p4P1p/3q1R2/1B4P1/PPp4P/1K2RQ2 w - - 0 35,b3c2 d4b2,815,77,99,713,master mate mateIn1 middlegame oneMove queensideAttack,https://lichess.org/8Bw8Nw50#69,
zzSPm,r1bqk2r/1p2ppbp/p1np1np1/8/3NP3/2N1B3/PPPQBPPP/R3K2R w KQkq - 0 9,e3h6 g7h6 d2h6 c6d4,1574,79,81,51,advantage middlegame short,https://lichess.org/S018FvRe#17,Sicilian_Defense Sicilian_Defense_Accelerated_Dragon
zzSXE,1r1q1rk1/1bp1nppp/4p3/p2pPn2/3P2P1/2PQ1N2/P1B2P1P/RN2R1K1 b - - 0 16,f5h6 d3h7,671,98,84,360,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/P4U5Q5sQ/black#32,Nimzowitsch_Defense Nimzowitsch_Defense_Pseudo-Spanish_Variation
zzShz,5rr1/ppp2nqk/1b1p3p/3P2PR/4PB2/2N4Q/PP4K1/7R b - - 8 27,f7g5 h5h6 g7h6 h3h6,1878,80,86,185,mate mateIn2 middlegame short,https://lichess.org/uVhUGhln/black#54,
zzSkA,2rr2k1/pp4qp/2p1R3/8/3p1P2/1P2QR1P/P5P1/7K w - - 0 34,f3g3 d4e3 g3g7 g8g7,942,76,94,898,crushing endgame short,https://lichess.org/QA4DSDWV#67,
zzSq1,q4r2/p1p2pbk/1p2p1p1/4n1Q1/2P5/2N3P1/PP3P1P/R4RK1 w - - 0 18,f2f3 e5f3 f1f3 a8f3,1087,83,81,85,advantage fork middlegame short,https://lichess.org/MGTEmMe8#35,Modern_Defense Modern_Defense_Other_variations
zzSqp,8/3knQ2/4p3/1p1p4/2q5/5P1P/6P1/5N1K w - - 1 45,f1e3 c4c1 h1h2 c1e3,845,93,86,52,crushing endgame fork short,https://lichess.org/rNmCUiFZ#89,
zzSsK,5k2/p2p1p2/7p/2pP2p1/3n4/P2p3P/1P3PP1/2R2K2 w - - 2 31,f1e1 d3d2 e1d2 d4b3 d2d1 b3c1,1560,77,87,56,advancedPawn advantage attraction endgame fork long,https://lichess.org/E7nLb3ej#61,
zzSsN,5rk1/ppp3pp/4p3/1b1pPq2/3P4/P5Q1/1PP1N1PP/2R3K1 w - - 7 19,e2c3 f5f1 c1f1 f8f1,1021,79,87,349,endgame kingsideAttack mate mateIn2 sacrifice short,https://lichess.org/U6yMdeUK#37,
zzSwl,5rk1/pp1b2bp/2n1p1p1/q2BP1N1/P1pP2P1/2P4P/2PB4/R2Q3K w - - 0 21,d5e6 d7e6 g5e6 a5d5 h1g1 d5e6,1238,77,93,1295,advantage exposedKing fork long middlegame,https://lichess.org/ObZ46ZHD#41,
zzSwo,rnb1k2r/pp1p1ppp/4p3/q7/3P4/P1P5/3N1PPP/R2QKB1R b KQkq - 0 10,a5c3 a1c1 c3c1 d1c1,1206,75,90,307,advantage middlegame short,https://lichess.org/dGCoajkx/black#20,Sicilian_Defense Sicilian_Defense_Alapin_Variation
zzSyb,8/pR6/6k1/4B3/rpb2PK1/8/8/8 b - - 3 45,b4b3 f4f5 g6h6 e5f4,2041,78,73,82,endgame mate mateIn2 short,https://lichess.org/0Orh5Gam/black#90,
zzT3G,3r4/pp3pk1/1b5p/3p1Bq1/8/5Q1P/PP3PP1/3R3K b - - 2 26,b6c7 f3c3 d5d4 c3c7,1394,75,83,541,crushing endgame fork master short,https://lichess.org/3mhZFHr9/black#52,
zzTCg,3r4/p1R2pkq/4pp2/1p6/3b1P2/PP3Q2/6PP/5R1K w - - 1 30,f4f5 d4e5 c7f7 g7f7 f3b7 f7g8 b7h7 g8h7,1770,74,87,126,advantage endgame veryLong,https://lichess.org/9LUWDnoM#59,
zzTF1,r2qk2r/pp3ppp/1bp5/4p3/QP2P3/P2PB1P1/3KnPBP/3R3R b kq - 4 17,b6e3 f2e3 e2d4 e3d4,1820,75,88,345,advantage middlegame short trappedPiece,https://lichess.org/5n6bp58u/black#34,English_Opening English_Opening_Anglo-Indian_Defense
zzTG5,rnbq2k1/4b1p1/2ppp2p/p6R/3P4/2P1PNB1/P1QN1PP1/2K5 b - - 0 17,c8d7 h5h6 g7h6 c2g6,2036,76,90,1797,crushing kingsideAttack middlegame sacrifice short,https://lichess.org/F19k83Hn/black#34,Horwitz_Defense Horwitz_Defense_Other_variations
zzTGL,2r2k2/3Knb2/4p3/3pPpPP/2pP4/2P2Q2/8/7R w - - 6 45,g5g6 f7e8 d7e6 c8c6,1111,75,94,268,endgame mate mateIn2 short,https://lichess.org/CzeRC8ws#89,
zzTI5,r2qr1k1/ppp2ppp/5n2/3NbPB1/8/5Q2/PPP2PPP/R4RK1 w - - 1 17,f1e1 d8d5 f3d5 f6d5,1673,74,94,2320,advantage middlegame short,https://lichess.org/6qwXzckG#33,Scotch_Game Scotch_Game_Benima_Defense
zzTIJ,5r2/pr3pkp/2pb1N2/3pn3/8/3B2R1/2P3PP/5R1K b - - 11 28,g7h8 g3h3 h7h6 h3h6 h8g7 h6h7,2026,90,82,88,long mate mateIn3 middlegame,https://lichess.org/nKP4MBeI/black#56,
zzTLv,k6r/p1Qn3p/1p2N1q1/2pP4/6p1/1B6/P4PPP/1R4K1 w - - 4 29,c7d7 g6b1 b3d1 b1d1,430,93,60,98,endgame,https://lichess.org/gq9OS5GJ#57,
zzTMX,r1bq2kr/pp4bp/2np1Rp1/2p3N1/4P3/2N5/PPP3PP/R1BQ2K1 b - - 0 12,g7f6 d1d5 g8g7 d5f7,1388,77,94,20190,crushing kingsideAttack opening short,https://lichess.org/pkaMRHyn/black#24,Sicilian_Defense Sicilian_Defense_Grand_Prix_Attack
zzTQC,r2r2k1/p1R2p1p/1p2p1p1/4Pn2/3P1PP1/3Q3R/q3N2P/6K1 b - - 0 22,a2a1 c7c1 a1c1 e2c1,1611,74,45,666,advantage defensiveMove middlegame short,https://lichess.org/QIqBjB7o/black#44,
zzTS8,3r2k1/p4p1p/1p2p1pP/5B2/1P6/P1q3P1/4QP2/4R1K1 b - - 0 31,e6f5 e2e8 d8e8 e1e8,564,102,86,419,endgame mate mateIn2 sacrifice short,https://lichess.org/30l3X8gi/black#62,
zzTZ8,6r1/p2b1k2/1p1b1p2/3p3r/3B3p/1P1B1P2/P3R1PP/2R4K b - - 3 25,d6g3 h2g3 h4g3 h1g1 g8h8 g1f1,1817,75,90,1217,crushing defensiveMove long master middlegame,https://lichess.org/2PXzrAfR/black#50,
zzTat,r2k3r/pp2R2p/2n3p1/1N6/3PN1bq/1Q1K2b1/PP4P1/R1B5 b - - 1 23,h4e7 c1g5 e7g5 e4g5,1634,75,93,2171,advantage middlegame pin short,https://lichess.org/qut7mlRJ/black#46,
zzTbb,2r2r1k/1p1b2p1/p3p2p/3p1p2/1q1P1B2/1NnQPP2/2B3PP/R1R3K1 w - - 0 21,b3c5 d7b5 c1b1 c3b1 a1b1 b4b1 c2b1 b5d3,2421,90,85,326,advantage middlegame veryLong,https://lichess.org/LwhmlSiL#41,
zzThB,r5r1/3b1p1k/7P/p2q4/2pp1P2/P2P3P/3Q2BR/2K1R3 b - - 1 30,g8g2 d2g2 d5g2 h2g2,2102,75,82,368,advantage middlegame short,https://lichess.org/2q13WTEn/black#60,
zzTmf,r1b1k2r/pppp1pRp/1b6/7N/3P4/1Q1Bnq2/PP3P1P/1K2R3 b kq - 4 19,f3h5 d3g6 h5g6 g7g6,2353,80,94,1548,advantage middlegame pin short,https://lichess.org/3xTRvC6k/black#38,
zzTnH,r1b1r1k1/pp3ppp/2p5/4R3/2P5/8/PBP2PPP/3R2K1 b - - 0 19,e8e5 d1d8 e5e8 d8e8,440,87,98,647,endgame mate mateIn2 short,https://lichess.org/WHvk8fwY/black#38,
zzTpP,r3n1r1/3b1k1p/p2pp1pB/8/1p1qPPB1/6Q1/P6K/2R2R2 b - - 2 30,d4e4 g4f3 e4f5 f3a8 f5h5 g3h3 h5h3 h2h3,1922,76,91,852,crushing middlegame skewer veryLong,https://lichess.org/sefspTY6/black#60,
zzTpb,1r3rk1/p1p2pp1/7p/8/4b2q/3QB3/PPP2PP1/R4RK1 w - - 0 19,d3c3 e4g2 g1g2 h4g4,2172,77,83,656,attraction crushing kingsideAttack master middlegame sacrifice short,https://lichess.org/0MvBBDFJ#37,
zzTrp,6k1/1bpq1ppp/p2p4/1p1P3N/2n5/2P2P2/P5PP/2B1Q1K1 b - - 0 24,b7d5 e1g3 f7f5 h5f6,1754,80,75,41,crushing endgame pin short,https://lichess.org/CWH3GVS2/black#48,
zzTv6,7b/3k3p/6pP/p4pP1/1pp2P2/P1PpP3/1P1K4/5N2 w - - 0 31,f1h2 h8c3 b2c3 b4a3 h2f3 a3a2,2175,75,97,394,advancedPawn crushing deflection endgame long,https://lichess.org/jv9BIiXf#61,
zzTy4,5B2/3r1p1p/8/8/k5P1/1pKpN2P/5P2/8 w - - 2 45,e3c4 d7c7 c3d3 c7c4 d3c4 b3b2,1987,79,95,12707,advancedPawn crushing endgame long sacrifice,https://lichess.org/qHkecBLX#89,
zzU3k,2kr3r/2p2q2/p2pbp1p/P1bNp1pn/2P1P3/3B1P2/1B1P2PP/R2Q1R1K w - - 2 21,b2a3 h5g3 h2g3 f7h5,1265,76,89,494,clearance kingsideAttack master mate mateIn2 middlegame sacrifice short,https://lichess.org/KQymMG25#41,
zzU3r,3r1k2/p6p/1pp3p1/8/3b4/8/PP3PPP/3RR1K1 w - - 2 24,e1e4 d4f2 g1f2 d8d1,763,97,94,585,advantage discoveredAttack endgame short,https://lichess.org/R3UQ0qEk#47,
zzU4I,r3k2r/p4ppp/4p3/1R1pP3/2qP2Pb/8/3B1P1P/1Q3RK1 b kq - 2 19,c4d4 b5b8 a8b8 b1b8,600,90,96,486,advantage middlegame short,https://lichess.org/0KmVZHlH/black#38,
zzU5Q,1r2r2k/p3P1p1/3P4/1ppR1q1Q/P1B5/6PP/7K/5q2 b - - 1 36,f5h5 d5h5,437,100,91,509,endgame mate mateIn1 oneMove,https://lichess.org/No7U84LS/black#72,
